lenaferguson,1,74820.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,0,0,3288,0,0
isaaccarone,2,17953.45,0,0,0,87,0,149,0,0,488,0,0,0,0,110,0,0,0,0,0,181
herminemcluen,2,31164.44,0,0,0,152,0,0,0,187,0,0,0,247,0,191,0,0,0,0,0,314
eugeniaphillips,2,37680.32,0,0,241,0,193,0,0,0,0,0,0,299,101,0,0,0,367,0,0,0
lawrenceselfridge,1,93151.14,0,0,0,0,0,0,0,0,0,0,2277,0,0,0,0,0,1817,0,0,0
marissajuarez,2,64809.04,0,0,0,317,0,539,0,0,0,1428,0,0,0,0,0,236,0,0,347,0
stefanielynch,2,83467.43,0,0,0,408,0,0,45,0,0,1839,0,0,0,0,657,0,0,1834,0,0
marykendall,2,94653.66,0,920,0,0,0,0,52,0,2573,0,0,0,253,0,0,0,0,2079,0,0
sandypemberton,2,34448.91,614,0,0,0,0,0,0,207,936,0,0,0,0,0,271,0,0,0,184,0
derricksmith,2,55155.25,984,0,0,0,282,0,0,0,0,1215,0,0,0,0,434,0,0,1211,0,0
samuelgray,2,18343.95,0,0,0,89,0,152,0,0,498,0,0,0,49,0,0,0,178,0,0,0
michaelgenco,1,57988.31,0,0,0,0,594,0,0,0,0,0,0,921,0,0,0,0,0,0,0,0
francesshankle,1,78081.4,0,0,0,0,0,0,0,0,4245,0,0,0,0,0,0,0,0,0,837,0
andrewstoner,2,99070.98,0,0,0,484,0,0,54,0,0,0,1211,0,265,0,0,0,966,0,0,0
larryjohnson,1,7231.71,0,0,0,0,0,0,0,0,0,0,176,0,38,0,0,0,0,0,0,0
jameyakin,2,80607.78,0,0,517,0,0,0,44,0,0,0,985,0,0,495,0,0,0,0,0,813
careylupton,2,74799.5,0,0,480,0,0,0,41,0,2033,0,0,0,0,0,589,0,729,0,0,0
ronjandreau,2,58013.84,0,0,372,0,297,0,0,0,0,1278,0,0,0,0,457,0,0,0,311,0
rosasmallwood,1,18759.41,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,366,0,0,0
jakegilley,2,18961.77,0,0,0,92,0,0,10,0,0,0,0,150,50,0,0,0,0,0,0,191
cynthiadillon,2,25952.41,463,0,0,0,0,215,0,0,0,571,0,0,0,0,204,0,0,0,0,261
georgedrew,1,98538.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,0,0,1057,0
jamesnunez,2,66297.58,1183,0,0,0,0,0,36,0,0,0,810,0,177,0,0,0,0,0,0,669
minniegoetz,2,42267.52,0,0,0,206,216,0,0,0,0,0,516,0,113,0,0,0,0,0,226,0
frankgregory,1,81599.01,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,1592,0,0,0
michaelbaseler,2,82884,0,0,0,405,0,689,0,0,0,1826,0,0,0,509,0,0,0,0,0,836
adahirschman,1,14305.4,0,0,0,139,0,0,0,0,777,0,0,0,0,0,0,0,0,0,0,0
davidrubio,2,84437.13,0,0,0,413,432,0,0,0,2295,0,0,0,0,0,665,0,0,1855,0,0
mariajohns,1,46914.24,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0
robertperry,1,27473.66,0,0,352,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0
seanramirez,1,91402.37,0,0,0,0,937,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0
andreastringer,2,24923.5,444,0,0,0,0,207,0,0,0,0,304,0,0,0,0,90,0,547,0,0
burttate,1,85687.58,0,0,0,838,0,0,0,1031,0,0,0,0,0,0,0,0,0,0,0,0
pauldiaz,2,93219.29,0,0,598,0,0,0,51,0,0,0,1139,0,0,573,0,0,0,0,500,0
davidprillaman,1,49464.21,0,0,0,0,507,0,0,0,0,2180,0,0,0,0,0,0,0,0,0,0
caroldebose,2,11978.29,0,0,0,58,0,99,0,0,325,0,0,0,32,0,0,0,0,0,64,0
lesliefry,1,26893.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,1181,0,0
melanielarkin,1,24186.74,0,0,0,236,0,0,0,0,0,1065,0,0,0,0,0,0,0,0,0,0
terrysage,2,19943.24,0,0,128,0,0,0,10,0,0,0,243,0,0,0,0,72,0,438,0,0
williammallen,2,14248.79,254,0,0,0,73,0,0,0,0,0,0,113,0,87,0,0,0,0,76,0
christiahmed,2,94347.63,0,917,0,0,0,0,51,0,0,0,0,749,0,0,0,344,0,0,0,952
frankjohnson,1,64044.2,0,0,0,0,0,0,0,0,0,2822,0,0,343,0,0,0,0,0,0,0
robertmorgan,2,73502.98,0,0,471,0,376,0,0,0,1998,0,0,0,197,0,0,0,0,0,394,0
michaelrider,2,81212.14,0,789,0,0,0,0,44,0,0,1789,0,0,0,0,0,296,0,0,435,0
charlesgirton,1,90014.28,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,1756,0,0,0
jessethompson,1,43599.41,0,0,559,0,0,0,0,0,2370,0,0,0,0,0,0,0,0,0,0,0
margaretarnold,2,74812.27,0,727,0,0,383,0,0,0,0,0,914,0,0,460,0,0,729,0,0,0
mariansatchell,1,85982.47,3069,0,0,0,0,0,0,1035,0,0,0,0,0,0,0,0,0,0,0,0
kellylowery,1,81579.93,0,0,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,3585,0,0
williamlandres,1,14332.4,0,278,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
carriebaldwin,1,78042.12,0,1517,0,0,0,0,0,0,0,3439,0,0,0,0,0,0,0,0,0,0
nickmartinez,1,16792.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,737,0,0
terriorwig,1,55096,0,0,0,0,0,0,0,663,0,0,0,0,0,0,0,0,0,2421,0,0
richardgillespie,2,56203.69,0,546,0,0,0,467,0,0,0,0,687,0,0,345,0,0,0,0,0,567
tinalee,1,90523.33,0,0,0,0,0,0,0,0,4922,0,0,0,0,0,0,0,0,0,0,1827
